Image no,Image name,Date,Tidal height,H1-Waterline,H1-Bar,H1-Breaker,H2-Waterline,H2-Bar,H2-Breaker,H3-Waterline,H3-Breaker,H4-Waterline,H4-Breaker
1,LT05_120035_19840507.tif,1984/5/7,1.015873324,,,,,,,173.2434,,176.8605,
2,LT05_120035_19840827.tif,1984/8/27,-0.845521835,197.0124,,,201.6174,,,195.9031,,293.6167,
3,LT05_120035_19841030.tif,1984/10/30,0.514031089,,,,,,,181.9035,,179.6472,
4,LT05_120035_19850323.tif,1985/3/23,-1.122145825,199.8378,,,204.6995,,,205,,300.4191,
5,LT05_120035_19850713.tif,1985/7/13,0.402093601,,,,,,,186.6996,,179.0843,
6,LT05_120035_19851102.tif,1985/11/2,-0.60939626,197.7101,,,202.7106,,,201.5284,,264.9532,
7,LT05_120035_19860121.tif,1986/1/21,-0.716213691,203.0336,,,208.8602,,,216.4253,,317.1013,
8,LT05_120035_19860206.tif,1986/2/6,-1.417591476,233.2828,291.9227,,,,,354.4698,,379.9923,
9,LT05_120035_19860310.tif,1986/3/10,-2.082542507,,,,,,,376.5269,,397.6502,
10,LT05_120035_19860326.tif,1986/3/26,-1.959069383,217.7033,,,,,,352.809,,382.0095,
11,LT05_120035_19860411.tif,1986/4/11,-0.722877651,196.6469,,,212.3678,,,205.1128,,291.956,
12,LT05_120035_19860427.tif,1986/4/27,-0.241208072,194.5697,,,197.3809,,,188.4546,,195.1566,
13,LT05_120035_19860902.tif,1986/9/2,-0.47210094,200.2304,,,203.0341,,,201.1737,,214.2218,
14,LT05_120035_19860918.tif,1986/9/18,-1.100432742,207.2975,,,209.703,,,318.6093,,313.1136,
15,LT05_120035_19861004.tif,1986/10/4,-1.393156226,207.2975,,,214.8466,,,307.8054,,338.5404,
16,LT05_120035_19861105.tif,1986/11/5,-1.085530567,202.7838,,,203.9308,,,,,304.0688,
17,LT05_120035_19861207.tif,1986/12/7,0.496929796,193.782,,,184.1495,,,179.7935,,183.6348,
18,LT05_120035_19870108.tif,1987/1/8,0.140795923,,,,195.142,,,,,191.3754,314.6603
19,LT05_120035_19870124.tif,1987/1/24,0.269329195,196.4303,,,191.7551,,,190.3432,,183.6817,
20,LT05_120035_19870225.tif,1987/2/25,-1.469373899,246.5949,312.1652,,,,,,,397.3688,
21,LT05_120035_19870313.tif,1987/3/13,-1.535132563,206.5309,,,,,,348.4621,,373.0681,
22,LT05_120035_19870617.tif,1987/6/17,1.618809297,,,,,,,167.6507,,182.2275,
