Image no	Image name	Date	Tidal height	L1_Waterline	L1_Breaker	L2_Waterline	L2_Breaker	L3_Waterline	L3_Breaker	L4_Waterline	L4_Breaker	L5_Waterline	L5_Breaker
1	LT05_120035_19840507.tif	1984/5/7	1.015873324	58.57983		53.37859		50.54988		51.38677	85.81123	58.98029	
2	LT05_119035_19840516.tif	1984/5/16		170.1427		155.288		149.0133		128.0339		134.3543	
3	LT05_120035_19840827.tif	1984/8/27	-0.845521835	77.24511	218.1204	58.67611	211.4497	79.93714	190.5705	82.80654		110.2138	220.0603
4	LT05_119035_19840921.tif	1984/9/21	0.253400727	67.76664		55.11501		55.14589		55.44894		70.14763	
5	LT05_120035_19841030.tif	1984/10/30	0.514031089	68.47341		55.55328		61.93604		60.17648	141.7292	66.58856	162.7949
6	LT05_119035_19850111.tif	1985/1/11		58.16479	218.1204	52.95383	192.638	54.91855	182.8711	68.94987		82.23934	195.8224
7	LT05_120035_19850323.tif	1985/3/23	-1.122145825	184.8382		172.199		153.8233		134.6459	200.408	153.1967	
8	LT05_119035_19850401.tif	1985/4/1											
9	LT05_120035_19850408.tif	1985/4/8											
10	LT05_119035_19850604.tif	1985/6/4			227.2167		217.7852						
11	LT05_120035_19850713.tif	1985/7/13	0.402093601	56.24745		49.62317		47.05468		50.21728		60.60902	
12	LT05_119035_19850807.tif	1985/8/7											
13	LT05_120035_19850830.tif	1985/8/30		87.21259		62.0861		88.9378		100.8707			
14	LT05_120035_19851102.tif	1985/11/2	-0.60939626	75.90582		59.35807		94.38028		99.01894		108.2782	
15	LT05_119035_19851111.tif	1985/11/11	-1.649620463	203.0746		190.1178		177.5901		152.858	197.0772	162.4418	
16	LT05_119035_19860114.tif	1986/1/14	-0.546810305	86.48121		69.413		88.20641		87.19162			
17	LT05_120035_19860121.tif	1986/1/21	-0.716213691	67.80108		49.31652		79.51539		75.16988		92.86525	
18	LT05_119035_19860130.tif	1986/1/30	-0.187354566	53.2099		43.81118		58.70396		49.53522		71.67788	
19	LT05_120035_19860206.tif	1986/2/6	-1.417591476	179.0311		183.7659		163.295		158.2676		156.0656	
20	LT05_119035_19860215.tif	1986/2/15	0.377444705	66.17377		64.79764		71.19675		64.77256		72.80148	
21	LT05_119035_19860303.tif	1986/3/3		55.8586		47.80444		53.17923		51.04432		66.26738	
22	LT05_120035_19860310.tif	1986/3/10	-2.082542507	217.9424		206.8836		193.3971		188.8902		165.1308	
23	LT05_120035_19860326.tif	1986/3/26	-1.959069383	203.5719		194.8948		162.5143	225.6934	144.2956	207.0694	148.0719	
24	LT05_120035_19860411.tif	1986/4/11	-0.722877651	77.74084	232.076	77.01677	218.2727	105.216	208.9604	111.2516		112.8512	
25	LT05_119035_19860420.tif	1986/4/20	-0.433683972	66.98592		67.7888		68.45238		71.78986	139.1298	98.23538	181.1505
26	LT05_120035_19860427.tif	1986/4/27	-0.241208072	60.67521		60.02357		57.50151		60.35445		85.39015	
27	LT05_119035_19860506.tif	1986/5/6	-1.017758753	192.225		163.2641		163.1306		126.5876		124.1924	
28	LT05_119035_19860522.tif	1986/5/22	-1.141902813							126.0867			
29	LT05_119035_19860607.tif	1986/6/7	-0.630587831	69.15538	200.366	61.92446	205.8292	76.02309	209.2371	77.54211	208.4334	102.87	
30	LT05_119035_19860826.tif	1986/8/26	1.069917659	59.18927	178.9848	43.09329	176.6828	50.90586	166.2697	47.34118	180.117	63.5333	182.5161
31	LT05_120035_19860902.tif	1986/9/2	-0.47210094	64.02914	239.6138	64.44167	207.2919	65.85302	214.5181	70.24801	215.5493	76.11505	215.4645
32	LT05_119035_19860911.tif	1986/9/11	1.02494617	65.55762		52.14323		58.66814		55.26783		68.28459	
33	LT05_120035_19860918.tif	1986/9/18	-1.100432742	191.1222	258.5242	85.4475	246.9614	170.0192	249.4138	159.0782	237.692	106.5359	250.0503
34	LT05_120035_19861004.tif	1986/10/4	-1.393156226	184.8643		162.3548		176.2753		162.6857		158.7987	
35	LT05_119035_19861013.tif	1986/10/13	0.027923251	70.69119		63.28852		62.22605		65.01624		75.8737	
