Image no,Image name,Tidal height,S1_waterline,S1_breaker,S2_waterline,S2_breaker,S3_waterline,S3_breaker,S4_waterline,S4_breaker,S5_waterline,S5_breaker
1,LT05_120035_19840507.tif,1.015873324,95.42626,212.2274,171.0003,268.7061,96.51703,253.2683,71.28352,245.5295,88.32109,238.1789
2,LT05_120035_19840827.tif,-0.845521835,213.3802,323.2777,243,328.0899,246.9033,311.6041,221.1736,319.4984,229.6856,307.4857
3,LT05_119035_19840905.tif,0.286840325,134.6248,234.4177,180,273.4272,175.6512,247.8398,161,235.6114,165.6185,232.6325
4,LT05_119035_19840921.tif,0.253400727,153,,198.0524,,196,,176.0678,,181.2711,
5,LT05_120035_19841030.tif,0.514031089,156.0639,,200,,199.1857,,177.2703,235.6114,186.1992,
6,LT05_120035_19850323.tif,-1.122145825,232,,246,,252,,231.294,,236.6674,
7,LT05_120035_19850713.tif,0.402093601,145,,171,,190,,153.9468,233.2985,172.845,
8,LT05_120035_19851102.tif,-0.60939626,200,,241.4034,,237,,214.1434,,210.4559,
9,LT05_119035_19851111.tif,-1.649620463,291.4395,,317.135,,288,,268.8515,,286.0592,
10,LT05_119035_19860114.tif,-0.546810305,197.758,,248.5366,,235.8336,,208.6581,,225.1527,
11,LT05_120035_19860121.tif,-0.716213691,195,,230.8432,,230.5329,,198.1959,,215.4749,
12,LT05_119035_19860130.tif,-0.187354566,178.3573,,193.5904,,172.3805,,,,180.587,
13,LT05_120035_19860206.tif,-1.417591476,255,,295.6338,,295.8621,,266.6257,,249.6539,
14,LT05_119035_19860215.tif,0.377444705,174.9286,202.7113,190.5036,244.3445,170.7741,232.0009,135.7695,227.0367,157,218.2915
15,LT05_120035_19860310.tif,-2.082542507,287.2596,,314.4282,,313.4771,,287.2013,,300.6346,
16,LT05_120035_19860326.tif,-1.959069383,253,,300.0749,,299.7583,,280.8553,,258.7919,
17,LT05_120035_19860411.tif,-0.722877651,201.5083,282.6517,229,308.7958,221,318.4348,198.7107,298.6173,212.6551,278.0248
18,LT05_119035_19860420.tif,-0.433683972,191,255.4261,207,308.7958,208,274.1896,194.0789,288.9994,205.4315,250.1424
19,LT05_120035_19860427.tif,-0.241208072,165.3889,,212.9717,,199.199,,180.188,,193.9631,
20,LT05_119035_19860506.tif,-1.017758753,243,,279.586,,260,,247.5877,,250.9009,
21,LT05_119035_19860522.tif,-1.141902813,235.167,,291.5015,,267.1738,,,,,
22,LT05_119035_19860607.tif,-0.630587831,184,242.9962,217,297.5209,221.493,284.4792,186.3612,275.201,193.279,251.3669
23,LT05_119035_19860826.tif,1.069917659,101.8707,154.7801,133.3619,203.3269,112.2913,197.5266,123.7654,186.019,145.6505,
24,LT05_120035_19860902.tif,-0.47210094,168.7555,310.2434,208,312.5115,210,308.4874,177.7855,285.8661,167.8233,301.1021
25,LT05_119035_19860911.tif,1.02494617,88,,122.3488,,,,,,,
26,LT05_120035_19860918.tif,-1.100432742,191.9064,308.0104,244,350.7393,253.609,330.27,237.813,307.6386,211.4525,310.1065
27,LT05_120035_19861004.tif,-1.393156226,204.0871,,254,,258,,240.3846,,234.8113,
28,LT05_119035_19861013.tif,0.027923251,137,,172,,173,,151.548,,157.4911,
29,LT05_119035_19861029.tif,-0.330891287,177,,208,,223,,191.1616,,178.0741,
30,LT05_120035_19861105.tif,-1.085530567,183.5026,,230.5034,311.4121,231.9375,304.3746,208.3127,274.9783,186.7902,287.2617
31,LT05_120035_19861207.tif,0.496929796,130,,182.3881,,186.2528,,151.548,,152.491,
32,LT05_120035_19870108.tif,0.140795923,150.8116,192.2487,190.6765,257.3887,185.788,249.3209,146.2285,226.8355,152.267,246.1011
33,LT05_120035_19870124.tif,0.269329195,151,,187,,196,,173.327,,152.267,
34,LT05_120035_19870225.tif,-1.469373899,265.1373,,298.4765,,289,,276.2273,,287.995,
35,LT05_120035_19870313.tif,-1.535132563,231.1816,,271.7735,,269.5581,,,,244.5341,
36,LT05_120035_19870617.tif,1.618809297,42,,35.81253,,20.36971,,5.605042,,45.44768,
37,LT05_120035_19870921.tif,-0.68336351,203.3338,298.1949,224.7963,338.5104,223.2528,307.9724,196.4778,310.9203,178.3579,296.6928
38,LT05_120035_19871007.tif,-1.561497444,218,303.9821,248,349.5284,250.9601,321.6943,221.8615,314.2758,226.6625,303.3069
39,LT05_120035_19871023.tif,-1.584793038,273.8857,313.6274,295.0216,,275.7492,,240.7268,,240.4646,
40,LT05_120035_19871108.tif,-1.301783905,195,301.9472,248,327.9503,246.7493,310.0126,204.1958,305.1046,205.5524,295.3448
41,LT05_120035_19871124.tif,-1.219345981,188.6484,316.6282,229,330.5948,251,314.3943,215.0006,294.9637,192.4454,288.2421
42,LT05_120035_19871226.tif,0.47036598,136,193.4746,172.8958,209.3687,147.4347,213.2103,134.5667,190.8197,121.3962,
43,LT05_120035_19880111.tif,0.294259442,147.7031,,172.8958,,156.7889,,122.7317,,115.0268,
44,LT05_120035_19880228.tif,-1.003179013,,,,,245.345,,,,,
45,LT05_120035_19880315.tif,-1.254402411,216.9478,372.5351,239.2113,379.3273,255.836,389.4363,232.1514,334.8571,211.3074,320.0903
46,LT05_120035_19880331.tif,-1.475181002,228.09,323.1694,243.67,352.8867,239.8884,328.3828,217.5722,331.8754,226.3772,349.0005
47,LT05_120035_19880416.tif,-1.773457534,,,,,265.7834,326.1531,,,,
48,LT05_120035_19880502.tif,-1.098530218,,,,,227.0254,,,,,
49,LT05_120035_19880603.tif,0.253503389,145.7738,215.6602,187.9713,254.418,175.9209,245.55,160.8077,215.4785,109.0224,190.7649
50,LT05_120035_19880705.tif,1.560430196,67.2272,188.9703,83.99773,225.7604,100.2129,222.0532,58.93692,186.7031,78.03063,170.8156
51,LT05_120035_19881009.tif,-1.049930894,194,,236,306.2694,224,272.4755,195.4512,,183.6267,263.7614
52,LT05_120035_19881025.tif,-1.80155904,270.9669,,275,,271.1031,,246.8997,,243.5286,
53,LT05_120035_19881110.tif,-1.826837262,276.1125,,288,,287,,267.4792,,244.7557,
54,LT05_119035_19881119.tif,0.089733483,168.3894,,197,,200,,174.6991,,147.858,
55,LT05_120035_19881126.tif,-1.394015099,244.0632,,264,,255,,220.1473,,226.8687,
56,LT05_119035_19881205.tif,-0.868400067,217,,244,,236.9746,,209.5155,,209.2287,
57,LT05_120035_19881212.tif,-1.248858915,186.3973,345.6771,229.0908,344.3123,231.6587,348.8813,194.5905,369.3497,184.6441,350.5929
58,LT05_120035_19890113.tif,0.397306125,128.5155,,158.5425,,154.9953,,125.4799,,110.8616,
59,LT04_120035_19890121.tif,-2.204015873,264.9657,,287.5283,,254,,259.9339,,256.1442,
60,LT05_120035_19890129.tif,0.360320553,133.3394,,157.5513,,140,,117.4194,,102,
61,LT04_120035_19890206.tif,-2.239191996,273.8594,,300.7972,,280,,259.5918,,272.6786,
62,LT05_120035_19890214.tif,0.211298451,115.2508,,149,,148.9953,,127,182.0752,96.18343,
63,LT04_120035_19890310.tif,-1.158465703,205.6286,246.4488,224.0741,310.0401,208.5041,319.3488,189.4474,298.2478,173.5807,286.0346
64,LT05_119035_19890311.tif,-0.230902534,168.608,,,,195.2972,246.0614,165.2665,217.1165,144.1585,217.1177
65,LT05_120035_19890403.tif,-1.030270761,194,,218.117,302.1525,228.7414,294.2542,197.1657,292.5791,192.8156,280.9125
66,LT05_119035_19890412.tif,1.075390487,85.40779,,124.991,,81.08037,,,,81.95174,
67,LT05_120035_19890505.tif,-1.405332629,223.4634,,260.4749,,259,,228.2074,,225.8884,
68,LT05_120035_19890521.tif,-0.778152684,192,278.5172,210,293.4045,219,,197.6806,,176.3605,
69,LT05_119035_19890530.tif,0.527111892,108,,150.1491,,130.1265,,121.0211,,89.3222,
70,LT05_120035_19890606.tif,0.144300256,144.7023,211.1559,172.1535,242.9857,177.9775,263.3283,172.6424,221.8653,132.5574,193.3857
71,LT05_120035_19890622.tif,0.334808091,128,,162.6958,,163.0558,,153.2622,212.2735,126.2943,
72,LT05_119035_19890701.tif,-0.296466021,162,,204.0528,,193,,181.3869,,152.1438,
73,LT05_119035_19890802.tif,-0.523998549,157.4357,260.1635,194.2783,260.6324,198.5567,260.6589,166.4694,228.3787,138.9129,201.6343
74,LT05_120035_19890809.tif,1.143834012,81,,126.0248,,57,,90,,85.13658,
75,LT05_119035_19890919.tif,-0.038393197,148.3454,228.3084,178.3305,234.8346,177.1201,240.4622,158,221.4399,133.5235,175.736
76,LT05_120035_19891012.tif,-0.647980163,186.0755,265.1373,215.7184,274.7121,226.6814,272.6447,192.019,269.6135,171.9278,
77,LT05_120035_19891028.tif,-1.299452395,216.9408,299.2658,233.5535,337.4803,236,301.4573,218.0871,270.6804,190.3638,
78,LT05_120035_19891113.tif,-2.139263701,252.4452,330.65,264.7644,330.0197,262.87,306.258,246.5573,297.6447,257.613,
79,LT05_120035_19891129.tif,-1.791583481,154.6914,,181.4169,,,,159.0933,,167.4945,
80,LT05_119035_19891208.tif,-0.005197259,150,,171,,170,,154.1157,,126.3343,
81,LT05_120035_19891215.tif,-1.456309972,200.9968,,221.2034,,231.1438,,204.0269,,184.7881,
82,LT05_119035_19891224.tif,-1.065893496,205.0491,,231.1548,,216.7374,,198.8837,,184.6441,
83,LT05_120035_19900116.tif,-0.026732193,156.7069,,177.7693,,165.8001,,149.3185,,118.456,
84,LT05_119035_19900125.tif,-1.823167715,247.4936,313.1571,270.4681,326.672,273.3326,323.5818,242.6101,298.5248,256.6357,
85,LT05_120035_19900201.tif,0.45744934,144.4017,,168.3825,,168.8866,,122.5664,,98.36659,
86,LT05_119035_19900226.tif,-1.844299131,224,,241.2716,,250,,215.3463,,216.6994,
87,LT05_120035_19900305.tif,0.349105517,131,,149,,149,,122.3934,,105.4725,
88,LT05_119035_19900415.tif,0.548880118,114.0439,194.1162,129.2805,193.9361,123.7882,183.1239,94.95274,185.5038,87.83226,
89,LT05_120035_19900508.tif,-0.979572203,202,,250.1855,,239.7189,289.6224,201.2784,,191,
90,LT05_120035_19900524.tif,-1.100557501,222,,243,,241,,221.5196,,189.6441,
91,LT05_119035_19900602.tif,0.593041412,120.2208,203.4442,136.8259,232.0493,143.5065,229.7676,120.8484,215.9925,108.5338,
92,LT05_120035_19900609.tif,-0.420804198,174.075,282.4609,202.3422,285.6897,203.7032,284.4792,174.6991,259.5337,154.1042,247.4487
93,LT05_120035_19900727.tif,1.054842829,75.6295,,86,,48,,77.00643,,98.73517,
94,LT05_120035_19900812.tif,1.153446527,70.82877,158.3163,86,,55,,74.71812,,92.85396,
95,LT05_120035_19900828.tif,1.041220686,40.64758,202.8841,69.08755,238.8695,52.09673,217.7674,55.16605,202.4647,85.13658,173.2183
96,LT05_120035_19900913.tif,0.826858778,68.9415,146.3096,69.94096,,62.63257,,,,91.62949,
97,LT05_120035_19900929.tif,0.422462868,101.1827,193.7919,123.7916,247.2002,117.9536,217.5944,,187.122,107.3271,180.4389
98,LT05_119035_19901008.tif,-0.331818897,134.1084,269.769,175.071,278.0716,159.1122,292.3702,138.6832,232.4971,131.5631,205.3077
99,LT05_120035_19901015.tif,-0.516485547,173,,220.3465,,197,,188.5903,,172.9682,
100,LT05_120035_19901031.tif,-0.817506655,,,228.2339,309.5251,224.967,307.2881,196.6505,308.8109,,292.9199
101,LT05_120035_19901116.tif,-1.672876288,226.2079,302.6943,254.6478,334.3939,248.8056,319.2919,233.5272,318.5115,202.7355,305.097
102,LT05_119035_19901125.tif,0.37212348,,,,,91.91066,,95.56215,,95.30289,
103,LT05_120035_19901218.tif,-1.783745921,237.3101,,253.103,,244.8621,,243.6402,,210.3294,
104,LT05_120035_19910103.tif,-1.45976309,,,,,230.4559,,,,,
105,LT05_120035_19910204.tif,0.209937538,126.9084,,167.8677,,156.1949,,136.1777,,124.0922,
