Image no,Image name,LandsatC1,LandsatC2,LandsatC3,LandsatC4,LandsatC5,LandsatC6,LandsatC7,LandsatC8,LandsatC9
503,LC08_120035_20150310.tif,101.9574,,150.0566,133.7539,136.2103,118.5747,29.28931,264.9007,303.1262
504,LC08_120035_20150326.tif,102.0297,,,,,,31.16779,264.9007,303.1262
505,LE07_120035_20150403.tif,105.4825,,,,,,33.83352,,
506,LC08_120035_20150411.tif,99.35417,,154.8878,,,,,264.9007,304.0062
507,LE07_120035_20150505.tif,101.2116,,150.1952,,,,,260.0061,298.3285
508,LC08_120035_20150513.tif,101.162,157.136,159.9026,135.1144,,,28.45044,265.4456,305.7027
509,LE07_120035_20150606.tif,97.90799,150.0649,,,,,,,
510,LC08_120035_20150614.tif,100.1497,157.8362,156.614,133.5903,131.1601,120.1656,31.40995,269.7873,301.5336
511,LE07_120035_20150622.tif,,163.9636,,,,,,269.7873,
512,LE07_120035_20150708.tif,103.4759,169.152,,,,,,274.6886,300.6535
513,LE07_120035_20150724.tif,,162.9656,,,,,,,
515,LE07_120035_20150910.tif,,153.6836,,,,,,261.087,
517,LE07_120035_20150926.tif,110.0561,163.8557,162.1504,134.6827,,,,263.2652,308.5097
518,LC08_120035_20151004.tif,106.9466,161.1351,,128.8153,,116.5672,31.57691,260.5443,307.5463
519,LE07_120035_20151012.tif,108.1761,168.6857,166.2399,134.1748,,,,273.596,306.1008
520,LC08_120035_20151020.tif,102.6082,156.3371,157.793,133.2352,132.9287,114.9763,34.45772,259.4565,302.4971
522,LE07_120035_20151028.tif,99.13726,155.4552,,,,,,,
523,LE07_120035_20151129.tif,,,,,,,,,298.6428
525,LE07_120035_20151215.tif,,,,,,,,,304.9697
527,LE07_120035_20151231.tif,,,,,,,,,
528,LC08_120035_20160108.tif,98.84795,154.6589,,124.9799,132.0438,113.3907,,,303.0773
530,LE07_120035_20160116.tif,,153.5958,,,,,,,304.9486
532,LC08_120035_20160124.tif,98.48656,153.9532,149.009,124.0403,127.1388,113.5228,,,299.1247
533,LE07_120035_20160201.tif,,164.2072,,,,,,,
535,LC08_120035_20160209.tif,97.90799,154.5713,,126.7066,,114.7774,25.36538,,303.3777
536,LE07_120035_20160217.tif,,,,,,,,,301.3665
538,LC08_120035_20160225.tif,,158.5486,,128.5861,,111.1182,,,298.8105
539,LE07_120035_20160304.tif,,,,,,,,,
540,LC08_120035_20160312.tif,,159.9612,,,,,,,301.5336
541,LE07_120035_20160320.tif,,162.7897,,,,,,,302.5608
542,LC08_120035_20160328.tif,102.102,158.9014,152.4078,130.0338,,115.826,26.15256,266.5286,302.8118
544,LE07_120035_20160405.tif,,165.9773,,,,,,272.5153,304.0062
545,LC08_120035_20160413.tif,101.5236,162.7912,152.9218,129.4494,128.9363,116.2688,,,302.728
546,LC08_120035_20160429.tif,104.0544,162.0828,154.9776,132.1426,127.5342,114.2804,34.97989,269.245,304.3411
547,LE07_120035_20160507.tif,,159.2558,156.6975,,,,,,302.9791
