Image no,Image name,SentinelC1,SentinelC2,SentinelC3,SentinelC4,SentinelC5,SentinelC6,SentinelC7,SentinelC8,SentinelC9
514,20150831T025726_20161009T195552_T51STV.tif,102.1745,157.4841,152.5862,127.291,129.1929,116.5672,30.12468,270.3322,304.4877
516,20150910T025726_20161017T163803_T51STV.tif,101.5236,158.5456,,,,,26.77682,270.8777,304.5715
521,20151020T025732_20151020T025727_T51STV.tif,100.2219,160.3172,153.9495,124.5487,130.6228,114.9763,26.85827,259.4565,305.0535
524,20151129T025722_20170509T093139_T51STV.tif,98.84795,164.2056,161.0334,125.5647,129.6145,119.3701,29.33751,,305.3678
526,20151229T025722_20151229T025722_T51STV.tif,98.84795,157.4889,157.4576,127.8757,130.5897,116.5022,,,304.9697
529,20160108T025112_20160108T025300_T51STV.tif,98.84795,161.7314,158.8209,124.9799,128.3167,116.0964,,,306.7294
531,20160118T025719_20160414T024941_T51STV.tif,99.35417,161.3802,157.8824,128.4605,129.127,116.5294,,,303.692
534,20160207T024902_20160207T025602_T51STV.tif,100.2219,161.0257,156.8545,128.2309,134.3918,118.5312,30.12468,,301.9322
537,20160217T025718_20160217T082407_T51STV.tif,99.35417,164.9158,159.2454,131.2029,134.8132,118.5312,32.86555,,304.0264
543,20160328T025719_20160328T100633_T51STV.tif,102.0297,163.5015,154.4636,130.2631,133.8381,115.826,32.78348,273.0581,306.9599
549,20160606T025727_20160606T080340_T51STV.tif,99.78795,157.8416,150.6198,126.9361,131.3671,110.2107,23.85467,263.2626,304.7392
551,20160616T024552_20160616T025728_T51STV.tif,97.98023,158.1959,149.1671,126.9361,129.127,113.1029,25.1852,272.5056,303.3777
555,20160914T025722_20160914T025719_T51STV.tif,105.2836,163.5015,162.1504,136.2568,135.2021,122.3658,37.01785,275.2289,310.3327
558,20161014T024652_20161014T025641_T51STV.tif,104.0544,157.4889,154.7987,125.7667,132.0196,115.651,31.89764,275.222,304.8858
560,20161103T024852_20161103T025456_T51STV.tif,103.982,162.7943,162.5754,128.6624,136.2762,123.4677,35.06422,276.8599,311.2961
565,20170102T025112_20170102T025445_T51STV.tif,103.0421,161.7299,159.67,131.9131,129.6145,117.8552,27.48254,274.1463,304.1735
567,20170112T025051_20170112T025049_T51STV.tif,102.6082,161.7299,158.2177,132.4214,136.1112,118.1991,31.01119,275.2289,304.6554
569,20170201T025721_20170201T025716_T51STV.tif,109.6221,169.1583,167.8713,138.289,141.4136,124.9141,,280.1237,313.6216
571,20170211T024831_20170211T025103_T51STV.tif,102.2467,160.6715,155.4018,130.1866,129.6806,114.549,29.59914,274.6886,309.1383
576,20170323T025721_20170323T025715_T51STV.tif,100.6559,159.2588,155.3127,132.4978,133.8381,114.9277,28.71324,273.0559,305.9332
578,20170402T024541_20170402T025302_T51STV.tif,100.8003,160.3172,157.0331,132.3448,127.6971,113.4816,28.45044,271.4206,307.7767
579,20170412T025721_20170412T025721_T51STV.tif,97.90799,155.3644,149.681,127.6464,125.3908,110.3826,22.62451,271.4206,301.0516
580,20170422T024551_20170422T025553_T51STV.tif,98.84795,157.8416,154.8878,130.542,129.094,115.1002,26.0711,271.4206,304.9697
582,20170512T024551_20170512T025555_T51STV.tif,98.41411,154.3047,152.5862,130.9737,128.6721,113.6538,25.89037,270.0303,304.1735
