Distance/m,Elevation of N2/m,Elevation of N3/m,Elevation of N4/m,Elevation of N5/m,Elevation of N6/m,Elevation of N7/m,Elevation of N8/m
200,3.185239854,3.431398596,3.333839052,0.958087066,4.526043046,4.467381971,2.772260342
201,3.147180431,3.374784153,3.268018227,0.968069407,4.465576462,4.453834838,2.646807754
202,3.109121007,3.318169711,3.202197401,0.978051748,4.405109877,4.440287705,2.521355167
203,3.071061583,3.261555268,3.136376576,0.988034089,4.344643292,4.426740572,2.39590258
204,3.033002159,3.204940825,3.070555751,0.99801643,4.284176707,4.413193439,2.270449992
205,2.994942735,3.148326383,3.004734925,1.00799877,4.223710122,4.399646306,2.144997405
206,2.956883312,3.09171194,2.9389141,1.017981111,4.163243537,4.386099172,2.019544818
207,2.918823888,3.035097498,2.836098367,1.056545094,4.102776952,4.372552039,1.907242469
208,2.878895469,2.978483055,2.730943602,1.124009945,4.042310367,4.359004906,1.808014486
209,2.837138052,2.921868612,2.625788838,1.191474797,3.981843783,4.345457773,1.708786504
210,2.795380636,2.86525417,2.520634074,1.258939649,3.921377198,4.33191064,1.609558521
211,2.753623219,2.808639727,2.415479309,1.326404501,3.860910613,4.318363506,1.510330539
212,2.711865803,2.752025285,2.310324545,1.393869353,3.823864854,4.304816373,1.411102556
213,2.670108386,2.695662994,2.205169781,1.459362449,3.78984121,4.273404183,1.311874574
214,2.628350969,2.663278772,2.100015016,1.523166171,3.755817566,4.234985373,1.212646591
215,2.585073898,2.63089455,1.994860252,1.586969893,3.721793922,4.196566564,1.113418609
216,2.524688021,2.598510328,1.889705488,1.650773615,3.687770278,4.158147755,1.014190626
217,2.464302144,2.566126106,1.784550724,1.714577337,3.653746634,4.119728945,0.914962644
218,2.403916267,2.533741885,1.679395959,1.778381059,3.619722989,4.081310136,0.821154917
219,2.34353039,2.501357663,1.57454069,1.842184781,3.585699345,4.042891327,0.774320824
220,2.283144513,2.468973441,1.474854645,1.905988503,3.551675701,4.004472518,0.727486731
221,2.222758636,2.436589219,1.3751686,1.969792225,3.517652057,3.966053708,0.680652637
222,2.154075618,2.414452836,1.275482555,2.033595947,3.483628413,3.927634899,0.633818544
223,2.06940001,2.393593818,1.175796511,2.097399669,3.449604769,3.88921609,0.586984451
224,1.984724402,2.3727348,1.076110466,2.109159186,3.415581124,3.85079728,0.540150358
225,1.900048794,2.351875782,0.983777705,2.111700799,3.38155748,3.812378471,0.493316265
226,1.815373185,2.331016763,0.900913463,2.114242413,3.347533836,3.773959662,0.446482172
227,1.730697577,2.310157745,0.81804922,2.116784027,3.313510192,3.735540852,0.399648079
228,1.646021969,2.289298727,0.735184978,2.119325641,3.279486548,3.697122043,0.358644124
229,1.557112088,2.268439709,0.652320736,2.121867255,3.245462904,3.650742153,0.322237324
230,1.447968861,2.218484534,0.569456493,2.124408868,3.21143926,3.602853193,0.285830524
231,1.338825634,2.158264656,0.486592251,2.126950482,3.177415615,3.554964232,0.249423724
232,1.229682406,2.098044777,0.403728009,2.129492096,3.143391971,3.507075272,0.213016924
233,1.120539179,2.037824899,0.320863766,2.13203371,3.12486863,3.459186312,0.176610124
234,1.046380201,1.977605021,0.237999524,2.119245065,3.115224828,3.411297352,0.140203324
235,1.022841172,1.917385142,0.155135282,2.097052967,3.105581027,3.363408392,0.103796524
236,0.999302144,1.844411614,0.096805097,2.07486087,3.095937225,3.315519432,0.067389724
237,0.975763115,1.764415027,0.059392303,2.052668772,3.086293424,3.267630471,0.030982924
238,0.952224087,1.68441844,0.021979509,2.030476675,3.076649622,3.219741511,-0.005423876
239,0.928685058,1.604421853,-0.015433284,2.008284578,3.067005821,3.171852551,-0.041830676
240,0.90456641,1.519439252,-0.052846078,1.98609248,3.057362019,3.123963591,-0.078237476
241,0.880166796,1.421774056,-0.090258871,1.963900383,3.047718218,3.056037781,-0.114644276
242,0.855767183,1.324108861,-0.127671665,1.95393748,3.038074416,2.964384729,-0.151051076
243,0.831367569,1.226443666,-0.165084458,1.960953282,3.028430615,2.872731677,-0.187457876
244,0.806967955,1.12877847,-0.202497252,1.967969085,2.961232611,2.781078625,-0.223986878
245,0.782568342,1.031314132,-0.239910045,1.974984888,2.862256022,2.689425573,-0.26130823
246,0.758168728,0.933891458,-0.277322839,1.98200069,2.763279433,2.597772521,-0.298629581
247,0.731481649,0.836468784,-0.283245995,1.989016493,2.664302845,2.506119469,-0.335950933
248,0.698124515,0.75093573,-0.285736803,1.996032295,2.52769562,2.414466417,-0.373272284
249,0.664767381,0.67421436,-0.28822761,2.003048098,2.388958135,2.322813365,-0.410593636
250,0.631410248,0.597492991,-0.290718417,2.010063901,2.25022065,2.231160313,-0.446982229
251,0.598053114,0.520771622,-0.293209225,2.017079703,2.136116568,2.139507261,-0.482245536
252,0.56469598,0.443857108,-0.295700032,2.026682574,2.030393774,2.047854208,-0.517508843
253,0.531338846,0.366850496,-0.298190839,2.038130152,1.92467098,1.970959672,-0.55277215
254,0.510912586,0.289843883,-0.300681647,2.04957773,1.818948187,1.869283795,-0.588035457
255,0.494133671,0.212837271,-0.303172454,2.061025307,1.713225393,1.767607918,-0.623298765
256,0.477354757,0.135830658,-0.305663261,2.072472885,1.614780592,1.665932041,-0.658562072
257,0.460575843,0.077959113,-0.308395574,2.083920463,1.565026837,1.564256164,-0.693825379
258,0.443796928,0.053249813,-0.314790768,2.095368041,1.582090032,1.478409774,-0.726700953
259,0.427018014,0.028540514,-0.321185962,2.106815619,1.599153226,1.401336221,-0.751554738
260,0.410239099,0.003831214,-0.327581155,2.118263196,1.616216421,1.324262668,-0.776408523
261,0.393460185,-0.020878086,-0.333976349,2.129710774,1.633279616,1.247189114,-0.801262309
262,0.37668127,-0.045587385,-0.340371542,2.141158352,1.650342811,1.170115561,-0.826116094
263,0.363190226,-0.072583455,-0.346766736,2.15260593,1.564386243,1.093042008,-0.850969879
264,0.349838329,-0.100986658,-0.35316193,2.163195615,1.467348074,1.015968455,-0.875823664
265,0.336486431,-0.129389861,-0.359557123,2.173558444,1.370309905,0.938894901,-0.900677449
266,0.323134534,-0.157793064,-0.365952317,2.183921272,1.273271736,0.861821348,-0.925531234
267,0.309782636,-0.186235569,-0.37234751,2.194284101,1.176233568,0.784747795,-0.95038502
268,0.296430739,-0.220326406,-0.378742704,2.204125452,1.110189687,0.707674242,-0.975238805
269,0.283078841,-0.254417242,-0.385137898,2.206135003,1.056864131,0.638527438,-1.00009259
270,0.269726943,-0.288508079,-0.391533091,2.208144554,1.003538576,0.585507402,-1.024946375
271,0.256375046,-0.322598915,-0.397928285,2.210154104,0.950213021,0.532487365,-1.04980016
272,0.243023148,-0.358756393,-0.404323478,2.212163655,0.896887465,0.479467329,-1.074653945
273,0.229671251,-0.395302932,-0.410718672,2.211090866,0.84356191,0.426447292,-1.09950773
274,0.216319353,-0.431849472,-0.417113866,2.177338881,0.790236355,0.373427256,-1.124083744
275,0.206837442,-0.468396011,-0.423509059,2.143586897,0.7369108,0.320407219,-1.129841053
276,0.203753046,-0.51852774,-0.429904253,2.109834912,0.683585244,0.267387183,-1.135598362
277,0.20066865,-0.593435469,-0.435498838,2.076082927,0.630259689,0.214367146,-1.141355672
278,0.197584254,-0.668343199,-0.437953858,2.009288118,0.573229504,0.16134711,-1.147112981
279,0.194499858,-0.743250928,-0.440408878,1.941397993,0.500278074,0.108327074,-1.15287029
280,0.191415461,-0.764509496,-0.442863898,1.873507868,0.427326644,0.055307037,-1.158627599
281,0.188331065,-0.779157917,-0.445318918,1.805617744,0.354375214,-0.007472398,-1.164384908
282,0.172046631,-0.793806338,-0.447773938,1.737727619,0.281423785,-0.045458112,-1.170142218
283,0.154175001,-0.808454759,-0.450228958,1.671899926,0.208472355,-0.083443827,-1.175899527
284,0.136303371,-0.82310318,-0.452683978,1.616553468,0.135520925,-0.121429541,-1.181656836
285,0.11843174,-0.8377516,-0.464431258,1.561207011,0.062569495,-0.159415255,-1.187414145
286,0.10056011,-0.852400021,-0.477551404,1.505860554,-0.010381935,-0.197400969,-1.193171454
287,0.082688479,-0.867048442,-0.490671549,1.43738845,-0.08319927,-0.235386683,-1.198928763
288,0.064816849,-0.881696863,-0.503791695,1.36034755,-0.155996242,-0.273372397,-1.204686073
289,0.049133677,-0.896345284,-0.516911841,1.28330665,-0.228793213,-0.311358112,-1.210443382
290,0.040907776,-0.910993705,-0.530031986,1.181983909,-0.301590184,-0.349343826,-1.216200691
291,0.032681874,-0.925642125,-0.543152132,1.06878331,-0.37405029,-0.38732954,-1.221958
292,0.024455973,-0.940290546,-0.556272278,0.958357718,-0.445917917,-0.425315254,-1.227715309
293,0.016230072,-0.954938967,-0.569392423,0.858571671,-0.517785543,-0.463300968,-1.233472619
294,0.00800417,-0.969587388,-0.582512569,0.758785624,-0.589653169,-0.49887062,-1.239229928
295,-0.000221731,-0.984235809,-0.595632715,0.664055155,-0.661520795,-0.534327145,-1.244987237
296,-0.008447632,-0.99888423,-0.60875286,0.627325295,-0.729420407,-0.569783671,-1.250744546
297,-0.017978331,-1.01353265,-0.621873006,0.590595435,-0.785779809,-0.605240196,-1.257144752
298,-0.030218819,-1.028181071,-0.634993152,0.551202052,-0.842139211,-0.640696722,-1.265366584
299,-0.042459308,-1.042829492,-0.648113297,0.508762585,-0.898498613,-0.676153247,-1.273588416
300,-0.054699796,-1.057477913,-0.661015097,0.466323118,-0.954858016,-0.711609773,-1.281810248
301,-0.066940285,-1.072126334,-0.673249272,0.423883651,-1.011217418,-0.747066298,-1.290032079
302,-0.079180773,-1.086774755,-0.685483446,0.381705481,-1.081442289,-0.782522824,-1.298253911
303,-0.091421262,-1.101423175,-0.697717621,0.343604861,-1.15573438,-0.817979349,-1.306475743
