Image no,Image name,Year,Month,Day,Date
1,LT05_120035_19840507.tif,1984,5,7,1984/5/7
2,LT05_120035_19840827.tif,1984,8,27,1984/8/27
3,LT05_120035_19841030.tif,1984,10,30,1984/10/30
4,LT05_120035_19850323.tif,1985,3,23,1985/3/23
5,LT05_120035_19850408.tif,1985,4,8,1985/4/8
6,LT05_120035_19850713.tif,1985,7,13,1985/7/13
7,LT05_120035_19851102.tif,1985,11,2,1985/11/2
8,LT05_120035_19860121.tif,1986,1,21,1986/1/21
9,LT05_120035_19860206.tif,1986,2,6,1986/2/6
10,LT05_120035_19860310.tif,1986,3,10,1986/3/10
11,LT05_120035_19860326.tif,1986,3,26,1986/3/26
12,LT05_120035_19860411.tif,1986,4,11,1986/4/11
13,LT05_120035_19860427.tif,1986,4,27,1986/4/27
14,LT05_120035_19860513.tif,1986,5,13,1986/5/13
15,LT05_120035_19860902.tif,1986,9,2,1986/9/2
16,LT05_120035_19860918.tif,1986,9,18,1986/9/18
17,LT05_120035_19861004.tif,1986,10,4,1986/10/4
18,LT05_120035_19861105.tif,1986,11,5,1986/11/5
19,LT05_120035_19861207.tif,1986,12,7,1986/12/7
20,LT05_120035_19861223.tif,1986,12,23,1986/12/23
21,LT05_120035_19870108.tif,1987,1,8,1987/1/8
22,LT05_120035_19870124.tif,1987,1,24,1987/1/24
23,LT05_120035_19870225.tif,1987,2,25,1987/2/25
24,LT05_120035_19870313.tif,1987,3,13,1987/3/13
25,LT05_120035_19871007.tif,1987,10,7,1987/10/7
26,LT05_120035_19871108.tif,1987,11,8,1987/11/8
27,LT05_120035_19871210.tif,1987,12,10,1987/12/10
28,LT05_120035_19871226.tif,1987,12,26,1987/12/26
29,LT05_120035_19880111.tif,1988,1,11,1988/1/11
30,LT05_120035_19880127.tif,1988,1,27,1988/1/27
31,LT05_120035_19880331.tif,1988,3,31,1988/3/31
32,LT05_120035_19880502.tif,1988,5,2,1988/5/2
33,LT05_120035_19880603.tif,1988,6,3,1988/6/3
34,LT05_120035_19880705.tif,1988,7,5,1988/7/5
35,LT05_120035_19881009.tif,1988,10,9,1988/10/9
36,LT05_120035_19881025.tif,1988,10,25,1988/10/25
37,LT05_120035_19881110.tif,1988,11,10,1988/11/10
38,LT05_120035_19881126.tif,1988,11,26,1988/11/26
39,LT05_120035_19881212.tif,1988,12,12,1988/12/12
40,LT05_120035_19890113.tif,1989,1,13,1989/1/13
41,LT04_120035_19890121.tif,1989,1,21,1989/1/21
42,LT05_120035_19890129.tif,1989,1,29,1989/1/29
43,LT04_120035_19890206.tif,1989,2,6,1989/2/6
44,LT05_120035_19890214.tif,1989,2,14,1989/2/14
45,LT04_120035_19890310.tif,1989,3,10,1989/3/10
46,LT05_120035_19890403.tif,1989,4,3,1989/4/3
47,LT05_120035_19890505.tif,1989,5,5,1989/5/5
48,LT05_120035_19890521.tif,1989,5,21,1989/5/21
49,LT05_120035_19890606.tif,1989,6,6,1989/6/6
50,LT05_120035_19890622.tif,1989,6,22,1989/6/22
51,LT05_120035_19890809.tif,1989,8,9,1989/8/9
52,LT05_120035_19891012.tif,1989,10,12,1989/10/12
53,LT05_120035_19891028.tif,1989,10,28,1989/10/28
54,LT05_120035_19891113.tif,1989,11,13,1989/11/13
55,LT05_120035_19891215.tif,1989,12,15,1989/12/15
56,LT05_120035_19900116.tif,1990,1,16,1990/1/16
57,LT05_120035_19900201.tif,1990,2,1,1990/2/1
58,LT05_120035_19900305.tif,1990,3,5,1990/3/5
59,LT05_120035_19900508.tif,1990,5,8,1990/5/8
60,LT05_120035_19900524.tif,1990,5,24,1990/5/24
61,LT05_120035_19900609.tif,1990,6,9,1990/6/9
62,LT05_120035_19900812.tif,1990,8,12,1990/8/12
63,LT05_120035_19900913.tif,1990,9,13,1990/9/13
64,LT05_120035_19901015.tif,1990,10,15,1990/10/15
65,LT05_120035_19901031.tif,1990,10,31,1990/10/31
66,LT05_120035_19901116.tif,1990,11,16,1990/11/16
67,LT05_120035_19901218.tif,1990,12,18,1990/12/18
68,LT05_120035_19910204.tif,1991,2,4,1991/2/4
69,LT05_120035_19910220.tif,1991,2,20,1991/2/20
70,LT05_120035_19910628.tif,1991,6,28,1991/6/28
71,LT05_120035_19910714.tif,1991,7,14,1991/7/14
72,LT05_120035_19910831.tif,1991,8,31,1991/8/31
73,LT05_120035_19910916.tif,1991,9,16,1991/9/16
74,LT05_120035_19911018.tif,1991,10,18,1991/10/18
75,LT05_120035_19911103.tif,1991,11,3,1991/11/3
76,LT05_120035_19911119.tif,1991,11,19,1991/11/19
77,LT05_120035_19911205.tif,1991,12,5,1991/12/5
78,LT05_120035_19911221.tif,1991,12,21,1991/12/21
79,LT05_120035_19920122.tif,1992,1,22,1992/1/22
80,LT05_120035_19920207.tif,1992,2,7,1992/2/7
81,LT05_120035_19920326.tif,1992,3,26,1992/3/26
82,LT05_120035_19920411.tif,1992,4,11,1992/4/11
83,LT05_120035_19920427.tif,1992,4,27,1992/4/27
84,LT05_120035_19920513.tif,1992,5,13,1992/5/13
85,LT05_120035_19920529.tif,1992,5,29,1992/5/29
86,LT05_120035_19920630.tif,1992,6,30,1992/6/30
87,LT05_120035_19920801.tif,1992,8,1,1992/8/1
88,LT05_120035_19920817.tif,1992,8,17,1992/8/17
89,LT05_120035_19920918.tif,1992,9,18,1992/9/18
90,LT05_120035_19921020.tif,1992,10,20,1992/10/20
91,LT05_120035_19921121.tif,1992,11,21,1992/11/21
92,LT05_120035_19921223.tif,1992,12,23,1992/12/23
93,LT05_120035_19930124.tif,1993,1,24,1993/1/24
94,LT05_120035_19930209.tif,1993,2,9,1993/2/9
95,LT05_120035_19930225.tif,1993,2,25,1993/2/25
96,LT05_120035_19930329.tif,1993,3,29,1993/3/29
97,LT05_120035_19930414.tif,1993,4,14,1993/4/14
98,LT05_120035_19930921.tif,1993,9,21,1993/9/21
99,LT05_120035_19931007.tif,1993,10,7,1993/10/7
100,LT05_120035_19931108.tif,1993,11,8,1993/11/8
101,LT05_120035_19931124.tif,1993,11,24,1993/11/24
102,LT05_120035_19931226.tif,1993,12,26,1993/12/26
103,LT05_120035_19940111.tif,1994,1,11,1994/1/11
104,LT05_120035_19940212.tif,1994,2,12,1994/2/12
