Image no,Image name,Previous high tidal height/m,Instantaneous tidal height/m
1,LT05_120035_19840507.tif,1.102673333,1.092765989
2,LT05_120035_19840827.tif,2.10339,-0.697723306
3,LT05_120035_19841030.tif,1.36755,0.764434891
4,LT05_120035_19850323.tif,1.373466667,-0.75341267
5,LT05_120035_19850408.tif,1.818176667,-0.076745597
6,LT05_120035_19850713.tif,1.16072,0.123473084
7,LT05_120035_19851102.tif,1.354353333,-0.121410828
8,LT05_120035_19860121.tif,0.67542,-0.846475656
9,LT05_120035_19860206.tif,0.81647,-1.628993464
10,LT05_120035_19860310.tif,1.569983333,-1.997062455
11,LT05_120035_19860326.tif,1.645116667,-1.78184801
12,LT05_120035_19860411.tif,1.430446667,-0.422193713
13,LT05_120035_19860427.tif,1.77216,0.193222662
14,LT05_120035_19860513.tif,1.308093333,0.672651828
15,LT05_120035_19860902.tif,1.393003333,-0.461625945
16,LT05_120035_19860918.tif,1.98815,-0.965964014
17,LT05_120035_19861004.tif,1.893676667,-1.121712341
18,LT05_120035_19861105.tif,1.712763333,-0.518102413
19,LT05_120035_19861207.tif,1.511123333,0.905096083
20,LT05_120035_19861223.tif,0.88692,0.501744002
21,LT05_120035_19870108.tif,0.8394,0.11033783
22,LT05_120035_19870124.tif,0.95048,0.261240634
23,LT05_120035_19870225.tif,0.878283333,-1.669534222
24,LT05_120035_19870313.tif,0.968743333,-1.606466178
25,LT05_120035_19871007.tif,1.955816667,-1.432366773
26,LT05_120035_19871108.tif,1.561033333,-0.820465247
27,LT05_120035_19871210.tif,1.168143333,-0.03001685
28,LT05_120035_19871226.tif,1.56633,0.897777775
29,LT05_120035_19880111.tif,0.91431,0.559619755
30,LT05_120035_19880127.tif,0.80556,0.122116717
31,LT05_120035_19880331.tif,1.097413333,-1.518226878
32,LT05_120035_19880502.tif,1.524396667,-1.072124902
33,LT05_120035_19880603.tif,1.63307,0.526521079
34,LT05_120035_19880705.tif,1.81917,1.773790189
35,LT05_120035_19881009.tif,1.40602,-1.037150313
36,LT05_120035_19881025.tif,1.822326667,-1.820093024
37,LT05_120035_19881110.tif,1.469476667,-1.612516966
38,LT05_120035_19881126.tif,1.628506667,-0.95627248
39,LT05_120035_19881212.tif,1.3847,-0.756249802
40,LT05_120035_19890113.tif,1.55424,0.875012295
41,LT04_120035_19890121.tif,1.33804,-2.102418614
42,LT05_120035_19890129.tif,0.90014,0.609318832
43,LT04_120035_19890206.tif,1.36171,-2.087764758
44,LT05_120035_19890214.tif,0.73641,0.139015731
45,LT04_120035_19890310.tif,1.899363333,-0.676653927
46,LT05_120035_19890403.tif,1.0933,-1.449605094
47,LT05_120035_19890505.tif,1.755176667,-1.51052282
48,LT05_120035_19890521.tif,1.48503,-0.67184369
49,LT05_120035_19890606.tif,1.90761,0.466828707
50,LT05_120035_19890622.tif,1.60423,0.672722679
51,LT05_120035_19890809.tif,1.29223,1.262315268
52,LT05_120035_19891012.tif,1.50356,-0.856874017
53,LT05_120035_19891028.tif,1.354296667,-1.363945196
54,LT05_120035_19891113.tif,1.682216667,-2.080575457
55,LT05_120035_19891215.tif,1.74964,-0.897644317
56,LT05_120035_19900116.tif,1.29476,0.443967357
57,LT05_120035_19900201.tif,1.45284,0.899543944
58,LT05_120035_19900305.tif,0.785186667,0.16972474
59,LT05_120035_19900508.tif,1.279636667,-1.088631927
60,LT05_120035_19900524.tif,1.66491,-1.118771558
61,LT05_120035_19900609.tif,1.52487,-0.305078557
62,LT05_120035_19900812.tif,1.75007,1.484995208
63,LT05_120035_19900913.tif,1.122696667,0.765227093
64,LT05_120035_19901015.tif,1.40694,-0.725935498
65,LT05_120035_19901031.tif,1.391776667,-1.113944342
66,LT05_120035_19901116.tif,1.288943333,-1.63397612
67,LT05_120035_19901218.tif,1.26979,-1.475475156
68,LT05_120035_19910204.tif,1.38794,0.661388344
69,LT05_120035_19910220.tif,1.385196667,0.844082277
70,LT05_120035_19910628.tif,1.58515,-0.128782473
71,LT05_120035_19910714.tif,2.29449,0.557947551
72,LT05_120035_19910831.tif,1.566506667,1.163072718
73,LT05_120035_19910916.tif,1.059696667,0.939891368
74,LT05_120035_19911018.tif,0.85327,-0.025283335
75,LT05_120035_19911103.tif,1.37665,-0.892821607
76,LT05_120035_19911119.tif,1.229883333,-1.290643112
77,LT05_120035_19911205.tif,1.260476667,-1.895794866
78,LT05_120035_19911221.tif,1.30478,-2.162309554
79,LT05_120035_19920122.tif,1.90602,-0.921473286
80,LT05_120035_19920207.tif,1.30524,-0.179390223
81,LT05_120035_19920326.tif,0.897176667,0.599128589
82,LT05_120035_19920411.tif,0.958326667,0.493459537
83,LT05_120035_19920427.tif,0.78984,-0.218929553
84,LT05_120035_19920513.tif,1.363323333,-0.750259538
85,LT05_120035_19920529.tif,1.273903333,-0.711623163
86,LT05_120035_19920630.tif,1.68591,-0.631122198
87,LT05_120035_19920801.tif,2.34071,0.34337259
88,LT05_120035_19920817.tif,1.667573333,0.654826437
89,LT05_120035_19920918.tif,1.40162,0.91341049
90,LT05_120035_19921020.tif,1.057403333,0.599685172
91,LT05_120035_19921121.tif,1.31972,-1.022914005
92,LT05_120035_19921223.tif,1.28468,-2.068090816
93,LT05_120035_19930124.tif,1.37861,-1.230858426
94,LT05_120035_19930209.tif,1.89149,-0.855713868
95,LT05_120035_19930225.tif,1.326723333,0.044510018
96,LT05_120035_19930329.tif,1.130356667,0.825667295
97,LT05_120035_19930414.tif,1.057926667,0.645064177
98,LT05_120035_19930921.tif,1.73713,1.115846532
99,LT05_120035_19931007.tif,1.192456667,0.711964259
100,LT05_120035_19931108.tif,1.012573333,0.499964042
101,LT05_120035_19931124.tif,0.88576,-0.566956916
102,LT05_120035_19931226.tif,0.96919,-1.562300443
103,LT05_120035_19940111.tif,1.35715,-2.216074319
104,LT05_120035_19940212.tif,1.50292,-1.087783153
105,LT05_120035_19940228.tif,1.845843333,-0.738687217
106,LT05_120035_19940316.tif,1.335463333,0.281822678
107,LT05_120035_19940519.tif,1.142166667,0.774469933
108,LT05_120035_19940706.tif,1.24131,-0.495210278
109,LT05_120035_19940807.tif,1.74337,-0.534676145
110,LT05_120035_19940924.tif,1.56011,0.50106443
111,LT05_120035_19941026.tif,1.066483333,0.627403365
112,LT05_120035_19941213.tif,0.872113333,-0.843966792
113,LT05_120035_19941229.tif,1.07705,-1.108242904
114,LT05_120035_19950114.tif,0.92325,-1.649900487
115,LT05_120035_19950215.tif,1.25659,-1.645675134
116,LT05_120035_19950319.tif,1.740743333,-0.391284944
117,LT05_120035_19950404.tif,1.336133333,0.633917189
118,LT05_120035_19950420.tif,1.549236667,1.380861666
119,LT05_120035_19950506.tif,1.16107,0.999684883
120,LT05_120035_19950522.tif,1.491106667,0.804862059
121,LT05_120035_19950810.tif,2.01248,-0.843712074
122,LT05_120035_19950826.tif,1.725823333,-0.472873219
123,LT05_120035_19950911.tif,2.007003333,-0.033352727
124,LT05_120035_19950927.tif,1.92056,-0.055794954
125,LT05_120035_19960202.tif,0.91692,-1.680724568
126,LT05_120035_19960218.tif,1.50606,-2.224768533
127,LT05_120035_19960305.tif,1.300196667,-1.373180027
128,LT05_120035_19960406.tif,1.62148,-0.169729206
129,LT05_120035_19960422.tif,1.394083333,0.89294185
130,LT05_120035_19960508.tif,1.597136667,1.422120489
131,LT05_120035_19960524.tif,1.23822,1.094505585
132,LT05_120035_19960913.tif,1.677286667,-0.703213329
133,LT05_120035_19960929.tif,2.054963333,-0.512436621
134,LT05_120035_19961202.tif,0.951046667,0.546949347
135,LT05_120035_19970119.tif,0.89096,-1.092183782
136,LT05_120035_19970204.tif,0.79754,-1.056091877
137,LT05_120035_19970220.tif,1.046386667,-1.764101033
138,LT05_120035_19970324.tif,1.34113,-1.333525558
139,LT05_120035_19970409.tif,1.88443,-0.744352095
140,LT05_120035_19970425.tif,1.568933333,-0.183853208
141,LT05_120035_19970527.tif,1.59384,1.333550484
142,LT05_120035_19970612.tif,1.28465,1.200387748
143,LT05_120035_19970628.tif,1.64927,1.286467047
144,LT05_120035_19970730.tif,1.34794,-0.078191383
145,LT05_120035_19970815.tif,1.19543,-0.023336226
146,LT05_120035_19970916.tif,2.021686667,-1.323821153
147,LT05_120035_19971002.tif,1.590023333,-0.955155272
148,LT05_120035_19971018.tif,2.05173,-0.985565102
149,LT05_120035_19971103.tif,1.53774,-0.713251764
150,LT05_120035_19971221.tif,0.97773,0.522154649
151,LT05_120035_19980106.tif,1.20875,0.686841458
152,LT05_120035_19980122.tif,0.73565,0.060517781
153,LT05_120035_19980207.tif,0.86643,-1.018401104
154,LT05_120035_19980514.tif,1.550186667,-0.041743722
155,LT05_120035_19980530.tif,1.69008,1.254971929
156,LT05_120035_19980615.tif,1.55802,1.254385287
157,LT05_120035_19980818.tif,1.34987,-0.016768116
158,LT05_120035_19980903.tif,1.19636,-0.165596708
159,LT05_120035_19980919.tif,1.673816667,-0.981049792
160,LT05_120035_19981005.tif,1.920873333,-1.494674167
161,LT05_120035_19981021.tif,1.50657,-1.1487175
162,LT05_120035_19981106.tif,1.97279,-1.294736277
163,LT05_120035_19981122.tif,1.409363333,-0.801596664
164,LT05_120035_19981208.tif,1.624806667,0.356176502
165,LT05_120035_19981224.tif,1.20817,0.291059381
166,LT05_120035_19990109.tif,0.9969,0.548251334
167,LT05_120035_19990125.tif,1.12433,0.7293732
168,LT05_120035_19990330.tif,1.40513,-1.779285406
169,LT05_120035_19990415.tif,1.60741,-1.912565665
170,LT05_120035_19990501.tif,1.465443333,-0.936018666
171,LT05_120035_19990618.tif,1.89077,1.47809939
172,LT05_120035_19990704.tif,1.52283,1.263639449
173,LT05_120035_19990805.tif,1.60852,1.408531871
174,LT05_120035_19990922.tif,1.239736667,-0.422411592
175,LT05_120035_19991008.tif,1.736653333,-1.264494075
176,LT05_120035_19991024.tif,1.77564,-1.646460206
177,LT05_120035_19991109.tif,1.43308,-1.286566404
178,LT05_120035_19991211.tif,1.329226667,-0.708403683
179,LE07_120035_19991219.tif,1.15811,-0.56696466
180,LT05_120035_19991227.tif,1.69958,0.492635227
181,LE07_120035_20000120.tif,1.3304,-2.213699593
182,LT05_120035_20000128.tif,0.99993,0.585455176
183,LE07_120035_20000221.tif,1.86033,-1.683477216
184,LT05_120035_20000229.tif,0.556186667,-0.259351617
185,LE07_120035_20000308.tif,1.520796667,-1.063182208
186,LT05_120035_20000316.tif,0.873273333,-0.9120723
187,LT05_120035_20000503.tif,1.60304,-1.61272085
188,LE07_120035_20000511.tif,1.380676667,1.123133343
189,LT05_120035_20000519.tif,1.566716667,-0.653681918
190,LT05_120035_20000604.tif,1.923836667,-0.265248921
191,LE07_120035_20000612.tif,1.37325,-0.037750455
192,LT05_120035_20000706.tif,2.02718,1.601087928
193,LE07_120035_20000730.tif,1.81118,-0.787265544
194,LT05_120035_20000908.tif,0.984223333,0.362127213
195,LE07_120035_20000916.tif,1.812916667,-0.345647677
196,LE07_120035_20001002.tif,1.584503333,0.320115962
197,LE07_120035_20001018.tif,1.58961,0.308117127
198,LT05_120035_20001026.tif,1.765563333,-1.541366268
199,LE07_120035_20001103.tif,1.01052,0.494375654
200,LT05_120035_20001127.tif,1.4583,-1.454720946
201,LE07_120035_20001205.tif,0.795776667,0.205245262
202,LT05_120035_20001213.tif,1.662213333,-1.511810519
203,LE07_120035_20001221.tif,1.06079,-0.609516508
204,LT05_120035_20001229.tif,1.28211,-0.626438668
205,LT05_120035_20010114.tif,1.75062,0.47593268
206,LT05_120035_20010130.tif,1.09639,0.421787378
207,LE07_120035_20010207.tif,1.2526,-2.208849242
208,LT05_120035_20010319.tif,0.662033333,-0.349040682
209,LT05_120035_20010404.tif,0.962073333,-0.751944362
210,LE07_120035_20010412.tif,1.41678,0.511947109
211,LT05_120035_20010420.tif,1.029436667,-1.116946128
212,LE07_120035_20010514.tif,1.161336667,1.026844335
213,LT05_120035_20010522.tif,1.574316667,-1.262813209
214,LT05_120035_20010607.tif,1.710946667,-0.419450162
215,LT05_120035_20010623.tif,1.85162,-0.075000809
216,LE07_120035_20010701.tif,1.43417,0.098331083
217,LE07_120035_20010717.tif,1.32705,0.200417476
218,LE07_120035_20010802.tif,1.5381,-0.560820139
219,LT05_120035_20010826.tif,1.471773333,1.189879783
220,LE07_120035_20010903.tif,1.62645,-0.592070562
221,LT05_120035_20010911.tif,1.203313333,1.045820879
222,LE07_120035_20010919.tif,2.268016667,-0.8423166
223,LT05_120035_20010927.tif,1.09701,0.119496896
224,LE07_120035_20011005.tif,1.632093333,-0.52544555
225,LT05_120035_20011029.tif,1.216783333,-0.962587101
226,LE07_120035_20011106.tif,1.36904,0.055039718
227,LT05_120035_20011114.tif,1.695993333,-1.781141532
228,LE07_120035_20011122.tif,1.012573333,0.477793741
229,LT05_120035_20011130.tif,1.41112,-1.857513855
230,LE07_120035_20011208.tif,1.234516667,0.713767962
231,LE07_120035_20011224.tif,0.78144,0.093238539
232,LT05_120035_20020117.tif,1.27699,-0.435970993
233,LE07_120035_20020210.tif,1.11653,-1.881349867
234,LT05_120035_20020218.tif,1.07151,0.546712097
235,LE07_120035_20020226.tif,1.270956667,-2.160007999
236,LT05_120035_20020306.tif,1.00738,0.68702231
237,LT05_120035_20020322.tif,0.831733333,0.620993367
238,LE07_120035_20020415.tif,1.46729,-0.497648431
239,LE07_120035_20020501.tif,1.531053333,0.859158286
240,LT05_120035_20020525.tif,1.714396667,-1.404091991
241,LE07_120035_20020618.tif,1.5307,1.383966112
242,LT05_120035_20020626.tif,1.88359,-0.15452938
243,LT05_120035_20020712.tif,1.82659,0.159822064
244,LE07_120035_20020720.tif,1.3742,0.27620066
245,LT05_120035_20020813.tif,2.01775,1.398632914
246,LE07_120035_20020906.tif,1.8224,-0.868110173
247,LE07_120035_20020922.tif,1.629046667,-0.764348319
248,LT05_120035_20020930.tif,0.88982,0.739495748
249,LE07_120035_20021008.tif,2.134573333,-1.206149969
250,LT05_120035_20021016.tif,1.201676667,-0.150475279
251,LE07_120035_20021024.tif,1.50576,-0.727973194
252,LT05_120035_20021101.tif,1.323316667,-0.436007983
253,LE07_120035_20021109.tif,1.6287,0.123940141
254,LT05_120035_20021117.tif,1.158196667,-1.2548763
255,LE07_120035_20021125.tif,1.155463333,-0.06907479
256,LE07_120035_20021211.tif,1.056116667,0.523513719
257,LE07_120035_20021227.tif,1.17604,0.727503211
258,LT05_120035_20030104.tif,1.65253,-1.586638508
259,LE07_120035_20030112.tif,0.72225,-0.024062994
260,LE07_120035_20030128.tif,0.84387,-0.595414664
261,LT05_120035_20030205.tif,1.34054,-0.152975997
262,LE07_120035_20030213.tif,0.60219,-0.910709983
263,LT05_120035_20030309.tif,1.02213,0.695238201
264,LE07_120035_20030317.tif,1.326996667,-2.052147856
265,LT05_120035_20030410.tif,0.765693333,0.514050037
266,LE07_120035_20030520.tif,1.703683333,1.152979504
267,LE07_120035_20030925.tif,1.774436667,-1.074980404
268,LT05_120035_20031019.tif,0.727266667,0.450968617
269,LE07_120035_20031027.tif,1.89788,-1.529466448
270,LT05_120035_20031104.tif,1.244656667,-0.276485533
271,LE07_120035_20031112.tif,1.41833,-0.869883426
272,LT05_120035_20031206.tif,1.08542,-1.463959077
273,LE07_120035_20031214.tif,0.994616667,-0.042702359
274,LT05_120035_20031222.tif,1.31655,-1.990412065
275,LT05_120035_20040107.tif,1.15239,-1.837869614
276,LT05_120035_20040208.tif,1.32048,-1.091968432
277,LT05_120035_20040224.tif,1.42614,-0.020476805
278,LE07_120035_20040303.tif,0.63886,-1.040538919
279,LT05_120035_20040311.tif,1.562636667,0.427698446
280,LE07_120035_20040319.tif,1.468203333,-2.038031828
281,LE07_120035_20040404.tif,1.390883333,-1.859897848
282,LT05_120035_20040428.tif,0.742113333,0.462749869
283,LE07_120035_20040506.tif,1.8389,-0.946405865
284,LT05_120035_20040514.tif,1.312626667,-0.29095849
285,LE07_120035_20040522.tif,1.476286667,0.112855877
286,LE07_120035_20040709.tif,1.66637,1.380375533
287,LE07_120035_20040911.tif,1.192633333,-0.200047907
288,LE07_120035_20040927.tif,1.89291,-1.096954544
289,LT05_120035_20041005.tif,1.121833333,0.700629482
290,LE07_120035_20041013.tif,1.657906667,-1.334912418
291,LT05_120035_20041106.tif,0.71159,0.263511685
292,LE07_120035_20041114.tif,1.661773333,-1.709810826
293,LT05_120035_20041122.tif,1.194083333,-0.297348644
294,LE07_120035_20041130.tif,1.36172,-0.871497742
295,LT05_120035_20041208.tif,1.104656667,-0.559501325
296,LE07_120035_20041216.tif,1.69518,0.040837055
297,LT05_120035_20041224.tif,1.00687,-1.648602021
298,LE07_120035_20050101.tif,0.97296,0.101897764
299,LT05_120035_20050109.tif,1.0961,-1.956758073
300,LE07_120035_20050202.tif,1.04535,0.697331398
301,LT05_120035_20050210.tif,1.89862,-1.947340759
302,LE07_120035_20050218.tif,0.51544,-0.30364874
303,LT05_120035_20050226.tif,1.329906667,-0.979407862
304,LE07_120035_20050306.tif,0.60025,-0.510063029
305,LE07_120035_20050322.tif,0.812133333,-1.131062271
306,LT05_120035_20050415.tif,0.97741,0.874598652
307,LE07_120035_20050423.tif,1.432436667,-1.565305233
308,LE07_120035_20050509.tif,1.56708,-0.845054448
309,LT05_120035_20050602.tif,1.409633333,0.051982462
310,LT05_120035_20050720.tif,1.53698,-0.44504339
311,LE07_120035_20050813.tif,1.42502,1.300437004
312,LT05_120035_20050906.tif,1.71055,-0.161614861
313,LE07_120035_20050914.tif,1.128843333,0.28207404
314,LT05_120035_20050922.tif,1.769166667,0.31608768
315,LT05_120035_20051008.tif,1.517483333,0.061557339
316,LE07_120035_20051016.tif,1.849666667,-1.361816161
317,LT05_120035_20051024.tif,1.07629,0.58579754
318,LE07_120035_20051101.tif,1.509806667,-1.582012019
319,LE07_120035_20051117.tif,1.509256667,-1.672258717
320,LT05_120035_20051125.tif,0.743633333,0.149627348
321,LE07_120035_20051219.tif,1.34398,-0.771122738
322,LE07_120035_20060120.tif,1.0114,0.263438684
323,LT05_120035_20060301.tif,1.941123333,-1.999003703
324,LE07_120035_20060309.tif,0.69018,-0.387245721
325,LE07_120035_20060325.tif,0.665713333,-0.476434792
326,LT05_120035_20060402.tif,1.522826667,0.348100035
327,LT05_120035_20060418.tif,1.30239,0.402635749
328,LE07_120035_20060426.tif,1.634456667,-1.668799693
329,LT05_120035_20060520.tif,1.268703333,1.194713452
330,LE07_120035_20060528.tif,1.745646667,-0.571518521
331,LE07_120035_20060731.tif,1.40831,1.131379998
332,LT05_120035_20060808.tif,1.54603,-0.429602922
333,LT05_120035_20060909.tif,2.3128,-1.007055142
334,LE07_120035_20060917.tif,1.221013333,0.277123434
335,LE07_120035_20061003.tif,1.12936,0.080238648
336,LT05_120035_20061011.tif,1.713513333,-0.012564001
337,LT05_120035_20061027.tif,1.30397,-0.227462247
338,LE07_120035_20061104.tif,1.686076667,-1.562792273
339,LT05_120035_20061112.tif,1.14847,0.578814261
340,LT05_120035_20061128.tif,1.065393333,0.638578485
341,LT05_120035_20061214.tif,0.744976667,0.064695404
